year,country,ccode,ele_rural,ele_total,ele_urban,en_int,ren_ele,ren_con,tot_ele,tfec
1990,Ethiopia,ETH,,0.01,73.69351959,30.62777387,1062,744589.6,1202,770514.4304
1990,Europe,GEU,,,,,,,,
1990,Faeroe Islands,FRO,100,100,100,,75,238.0095,211,9352.8832
1990,Falkland Islands,FLK,,,,,0,5.062525,11,447.637075
1990,Fiji,FJI,41.79487678,60.46178818,86.65545654,4.555201992,385,9650.993,467,18177.18
1990,Finland,FIN,100,100,100,8.33241214,16015,214313.4,54377,874447.6374
1990,France,FRA,100,100,100,5.447532803,55779,565611.4,417199,5434380.864
1990,French Guyana,GUF,,,,,0,370.3956,353,6468.49555
1990,French Polynesia,PYF,100,100,100,,54.134,205.1836,291,4336.392145
1990,Gabon,GAB,12.16468494,64.61288452,88.01935577,2.663770007,708,33023.57,978,42186.11306
1990,"Gambia, The",GMB,1.984691306,16.23235321,39.17325211,4.767642157,0,3344.41,70,5443.21
1990,Georgia,GEO,96.15177235,97.33401489,98.29981995,13.50180914,7577,46062.88,13724,360598.7845
1990,Germany,DEU,100,100,100,5.882255835,19093,191345.9,547650,9120248.791
1990,Ghana,GHA,,23.53626251,73.17678833,7.888965099,5721,143281.2,5721,177709.982
1990,Gibraltar,GIB,,100,100,,0,0,79,1429.834068
1990,Greece,GRC,100,100,100,4.178203658,1771,45087.11,34775,577530.2902
1990,Greenland,GRL,100,100,100,,0,0,220,3829.7
1990,Grenada,GRD,81.56082916,81.56082916,81.56082916,2.241028939,0,98.81,55,1184.46942
1990,Guadeloupe,GLP,,,,,15,792.1189,762,11737.01885
1990,Guam,GUM,,,,,0,0,1370.2,4377.6
1990,Guatemala,GTM,38.74095558,60.18920135,90.90489197,3.908459044,2003,125735.7,2186,167725.1339
1990,Guinea,GIN,,6.429067135,40.70106506,15.50730843,175,86534.96,518,96906.7497
1990,Guinea-Bissau,GNB,,0.01,19.22040558,12.62682881,0,16129.96,40,18209.56407
1990,Guyana,GUY,60.99880363,68.21060181,85.3769989,11.58387556,5,8810.178,312,20860.4206
1990,Haiti,HTI,10.28074516,28.00139809,72.43665314,4.391253933,474,41711.8,597,51420.14233
1990,High income,HIC,,,,,,,,
1990,High income: nonOECD,NOC,,,,,,,,
1990,High income: OECD,OEC,,,,,,,,
1990,Honduras,HND,30.25425043,54.74451828,90.78382111,6.339004011,2279,68536.86,2319,97729.58351
1990,"Hong Kong SAR, China",HKG,100,100,100,2.344713721,0,2278.666,28938,212194.6858
1990,Hungary,HUN,100,100,100,6.838309854,195,30597.28,28436,793360.1652
1990,Iceland,ISL,100,100,100,12.98918588,4504,30460.41,4510,55714.6687
1990,India,IND,29.74335359,43.29156113,82.77583313,8.291597909,71688,5645860,292732,9625890.637
1990,Indonesia,IDN,48.43357138,61.70114517,91.81433868,5.084265904,6833,1779394,32667,3036636.468
1990,"Iran, Islamic Rep.",IRN,90.28542023,95.57950592,99.6837616,5.079498212,6083,25078.52,59102,2025140.381
1990,Iraq,IRQ,84.74938397,93.48020935,97.27459717,4.16933794,2600,9439.936,24000,591353.7641
1990,Ireland,IRL,100,100,100,5.546097156,697,6605.385,14229,289737.655
1990,Isle of Man,IMN,100,100,100,,0,0,,0
1990,Israel,ISR,100,100,100,5.203911962,3,15129.48,20898,260842.078
1990,Italy,ITA,100,100,100,3.520006111,34905,165473.8,213147,4375919.556
1990,Jamaica,JAM,53.200008,70.334586,82.110334,6.60393979,186,6172.296,2458,80859.5428
1990,Japan,JPN,100,100,100,5.031471974,98204,482598.1,872557,10605003.96
1990,Jordan,JOR,90,96.8,99.23476686,6.127001465,12,2553.461,3638,92337.44566
1990,Kazakhstan,KAZ,95.55208208,97.72080994,99.40650177,13.83029145,7366,34100.6,87379,2422404.145
1990,Kenya,KEN,,3.318389893,35.90447235,8.050731568,3004,239306.3,3235,308766.3679
1990,Kiribati,KIR,,31.55973244,96.58505249,3.118712388,0,12.93361,8,247.72561
1990,"Korea, Dem. Rep.",PRK,0.01,0.01,0.01,,15600,81844.39,27700,1138373.21
1990,"Korea, Rep.",KOR,,,,7.507566694,6362,39753.07,105371,2435929.184
1990,Kosovo,XKX,,87.69469452,87.69469452,,0,0,0,0
1990,Kuwait,KWT,100,100,100,4.802063894,0,246.3932,18477,149110.2024
1990,Kyrgyz Republic,KGZ,98.78729125,99.17418671,99.81144714,20.54215813,9986,22919.07,15732,289101.1358
1990,Lao PDR,LAO,0.703275453,15.30261421,95.27700043,8.051486548,833.4893,51638.8,878.4893,58385.14711
1990,Latin America and Caribbean,GLC,,,,,,,,
1990,Latvia,LVA,100,100,100,8.057317967,4496,46647.23,6648,265498.302
1990,Lebanon,LBN,100,97.90869904,97.47361755,3.913003726,500,5392.612,1500,47546.84992
1990,Lesotho,LSO,0.01,0.01,0.01,17.42734434,0,17780.3,,34174.4966
1990,Liberia,LBR,0.01,0.01,0.01,20.69413515,0,28999.05,320,32650.2493
1990,Libya,LBY,99.32417449,99.83592987,100,4.653167803,0,5235.007,10169,167289.5811
1990,Liechtenstein,LIE,100,100,100,,0,0,,0
1990,Lithuania,LTU,100,100,100,11.27386483,414,12373.56,28405,399562.3176
1990,Low & middle income,LMY,,,,,,,,
1990,Low income,LIC,,,,,,,,
1990,Lower middle income,LMC,,,,,,,,
1990,Luxembourg,LUX,100,100,100,6.583254022,83,1987.09,624,115405.5414
1990,"Macao SAR, China",MAC,,,,1.172977611,0,59,790,8926.1
1990,"Macedonia, FYR",MKD,95.9522527,94.33944702,93.16139984,5.39667844,491,1440.617,5758,59771.97097
1990,Madagascar,MDG,1.043678021,9.571782112,37.23184586,4.435946561,341.3384,62747.98,592.0936,73263.2517
1990,Malawi,MWI,,1.120719671,17.17592621,9.136075912,704,45791.22,718,54493.26078
1990,Malaysia,MYS,91.82723677,93.95503998,96.10044861,4.802778323,3989,65569.34,23016,547298.5379
1990,Maldives,MDV,64.79724822,73.0881424,96.88286591,2.617816554,0,84.68412,29.5,1899.284125
1990,Mali,MLI,,0.01,2.104508877,5.693147744,183,35235.82,247,39752.6932
1990,Malta,MLT,100,100,100,4.948687608,0,0,1100,10922.60758
1990,Marshall Islands,MHL,,52.44190979,86.01314545,,0,0,,0
1990,Martinique,MTQ,,,,,0,205.5291,747,9634.7291
1990,Mauritania,MRT,,3.886186838,21.71208572,4.005027943,25,8389.6,235.8,17850.31015
1990,Mauritius,MUS,98.63533167,99.23442078,100,3.482108811,243,10430.93,780,22161.48602
1990,Mayotte,MYT,,,,,0,333.4275,16,997.9135
1990,Mexico,MEX,82.57402229,94.26457214,98.94298553,4.82065733,28604,447873.5,115837,3107362.28
1990,"Micronesia, Fed. Sts.",FSM,17.66864683,28.03698158,57.82754898,,0,0,,0
1990,Middle income,MIC,,,,,,,,
1990,Moldova,MDA,94.00199336,94.91943359,95.96392822,17.401597,257,3191.152,16221,279690.5911
1990,Monaco,MCO,,100,100,,0,0,,0
1990,Mongolia,MNG,25.78688981,68.11283875,100,12.75427278,0,2199.452,3348,116211.7516
1990,Montenegro,MNE,97.59024628,98.40816498,99.2929306,,0,0,,0
1990,Montserrat,MSR,,,,,0,0,14,284.3
1990,Morocco,MAR,10.15147141,48.11626434,88.60571289,3.248922432,1220,44377.22,9628,227779.2534
1990,Mozambique,MOZ,0.01,0.01,0.01,49.44345355,284,185064.8,454,198773.0611
1990,Myanmar,MMR,20.25734399,35.65203094,82.91378021,14.89409131,1193,354228.8,2478,389659.1539
