product,rating,rating_no,sales,price
"Redmi 13C (4/128GB) | 6.74"" Dot Drop display | 90Hz Refresh Rate | 5000mAh Battery | 18W PD charging",5/5,(2),,"Rs.13,999"
"Apple iPhone 15 - Oliz Store 6.1"" Super Retina XDR OLED Display",4.9/5,(13),31 Sold,"Rs.135,200"
"Redmi 13C (4GB/128GB) | 6.74"" HD+ 90Hz Display | Mediatek Helio G85 | 5000mAh Battery",4.4/5,(5),49 Sold,"Rs.13,999"
MHorse Spark10Pro 3/64GB,4.5/5,(2),,"Rs.9,000"
"Honor X9b 5G (12/256GB) | 6.78"" AMOLED Display | 108MP Lossless Capture Camera | 5800 Battery | 35W Wired Charging | The Unbreakable Smartphone",4.4/5,(17),59 Sold,"Rs.43,999"
vivo Y36 | 44W FlashCharge | 5000 mAh Battery | Snapdragon 680,,,,"Rs.21,999"
"X-AGE LEAP Smartphone | 4GB/64GB | 13MP Rear Camera | 6.56"" IPS Display | UNISOC SC9863A | 5000mAh Battery",3.1/5,(7),42 Sold,"Rs.11,500"
HONOR X8b (16*/512GB) 108MP+50MP portrait photography Camera | AMOLED Display | Computer Level Storage,4.5/5,(11),49 Sold,"Rs.29,999"
"Redmi Note 13 (8/256GB) | 6.67"" AMOLED Display | Snapdragon 685 | 5000 mAh Battery | 33W Fast Charge",4/5,(8),36 Sold,"Rs.27,999"
"HONOR 90 LITE 5G | 8GB RAM , 256GB STORAGE | 100MP Triple Camera | 90Hz Display, 4500mAh | Dual SIM | Android 13",4.1/5,(16),51 Sold,"Rs.31,990"
"Redmi Note 13 Pro+ 5G (8/256) | 6.67"" CrystalRes AMOLED Display | MediaTek Dimensity 7200-Ultra Processor | 5000mAh Battery | 120W HyperCharge",4.6/5,(12),42 Sold,"Rs.47,999"
Samsung Galaxy M14 4G (6GB/128GB) | 50MP+2MP+2MP Rear Main Camera | SnapDragon 680 | 25W Super Fast Charging,,,,"Rs.20,999"
"Samsung Galaxy A15 5G (8GB/256GB) | 6.5"" SuperAMOLED 90Hz Display | 50MP+5MP+2MP Rear Camera | 5000mAh Battery",5/5,(1),,"Rs.33,399"
TECNO SPARK GO 2024,3.8/5,(5),,"Rs.11,990"
Samsung Galaxy A33 5G (8GB+128GB) | Super AMOLED 90Hz | Fast charging 25W,4.9/5,(23),72 Sold,"Rs.39,000"
