ad_4,residence,weighted_households,weighted_individuals
Kathmandu,Kathmandu,845254.9213256836,3091107.367477417
Other urban,Other urban,4178550.097000122,16875469.21164322
Rural,Rural,2161297.639160156,8773926.947547913
