prov,province,weighted_households,weighted_individuals
Koshi,Koshi,1216891.06137085,4675310.353889465
Madhesh,Madhesh,1347876.608093262,6486146.867263794
Bagmati,Bagmati,1622908.462188721,5869481.414115906
Gandaki,Gandaki,695063.0628662109,2396728.065765381
Lumbini,Lumbini,1354403.215209961,5447377.451812744
Karnali,Karnali,372795.2937011719,1473115.413772583
Sudurpaschim,Sudurpaschim,575164.9540557861,2392343.960048676
